Winner,Loser,Date
Cleveland Cavaliers,Washington Wizards,Tue Oct 30 2012
Dallas Mavericks,Los Angeles Lakers,Tue Oct 30 2012
Miami Heat,Boston Celtics,Tue Oct 30 2012
Chicago Bulls,Sacramento Kings,Wed Oct 31 2012
Houston Rockets,Detroit Pistons,Wed Oct 31 2012
Los Angeles Clippers,Memphis Grizzlies,Wed Oct 31 2012
San Antonio Spurs,New Orleans Hornets,Wed Oct 31 2012
Philadelphia 76ers,Denver Nuggets,Wed Oct 31 2012
Golden State Warriors,Phoenix Suns,Wed Oct 31 2012
Portland Trail Blazers,Los Angeles Lakers,Wed Oct 31 2012
Indiana Pacers,Toronto Raptors,Wed Oct 31 2012
Utah Jazz,Dallas Mavericks,Wed Oct 31 2012
San Antonio Spurs,Oklahoma City Thunder,Thu Nov 1 2012
Houston Rockets,Atlanta Hawks,Fri Nov 2 2012
Milwaukee Bucks,Boston Celtics,Fri Nov 2 2012
Charlotte Bobcats,Indiana Pacers,Fri Nov 2 2012
Chicago Bulls,Cleveland Cavaliers,Fri Nov 2 2012
Memphis Grizzlies,Golden State Warriors,Fri Nov 2 2012
Los Angeles Clippers,Los Angeles Lakers,Fri Nov 2 2012
Minnesota Timberwolves,Sacramento Kings,Fri Nov 2 2012
New Orleans Hornets,Utah Jazz,Fri Nov 2 2012
New York Knicks,Miami Heat,Fri Nov 2 2012
Oklahoma City Thunder,Portland Trail Blazers,Fri Nov 2 2012
Orlando Magic,Denver Nuggets,Fri Nov 2 2012
Phoenix Suns,Detroit Pistons,Fri Nov 2 2012
Brooklyn Nets,Toronto Raptors,Sat Nov 3 2012
New Orleans Hornets,Chicago Bulls,Sat Nov 3 2012
Dallas Mavericks,Charlotte Bobcats,Sat Nov 3 2012
Portland Trail Blazers,Houston Rockets,Sat Nov 3 2012
Indiana Pacers,Sacramento Kings,Sat Nov 3 2012
Golden State Warriors,Los Angeles Clippers,Sat Nov 3 2012
Miami Heat,Denver Nuggets,Sat Nov 3 2012
Milwaukee Bucks,Cleveland Cavaliers,Sat Nov 3 2012
San Antonio Spurs,Utah Jazz,Sat Nov 3 2012
Boston Celtics,Washington Wizards,Sat Nov 3 2012
Los Angeles Lakers,Detroit Pistons,Sun Nov 4 2012
New York Knicks,Philadelphia 76ers,Sun Nov 4 2012
Atlanta Hawks,Oklahoma City Thunder,Sun Nov 4 2012
Orlando Magic,Phoenix Suns,Sun Nov 4 2012
Toronto Raptors,Minnesota Timberwolves,Sun Nov 4 2012
Minnesota Timberwolves,Brooklyn Nets,Mon Nov 5 2012
Dallas Mavericks,Portland Trail Blazers,Mon Nov 5 2012
Cleveland Cavaliers,Los Angeles Clippers,Mon Nov 5 2012
Memphis Grizzlies,Utah Jazz,Mon Nov 5 2012
Miami Heat,Phoenix Suns,Mon Nov 5 2012
New York Knicks,Philadelphia 76ers,Mon Nov 5 2012
Sacramento Kings,Golden State Warriors,Mon Nov 5 2012
San Antonio Spurs,Indiana Pacers,Mon Nov 5 2012
Chicago Bulls,Orlando Magic,Tue Nov 6 2012
Denver Nuggets,Detroit Pistons,Tue Nov 6 2012
Oklahoma City Thunder,Toronto Raptors,Tue Nov 6 2012
Atlanta Hawks,Indiana Pacers,Wed Nov 7 2012
Boston Celtics,Washington Wizards,Wed Nov 7 2012
Phoenix Suns,Charlotte Bobcats,Wed Nov 7 2012
Dallas Mavericks,Toronto Raptors,Wed Nov 7 2012
Golden State Warriors,Cleveland Cavaliers,Wed Nov 7 2012
Denver Nuggets,Houston Rockets,Wed Nov 7 2012
Los Angeles Clippers,San Antonio Spurs,Wed Nov 7 2012
Miami Heat,Brooklyn Nets,Wed Nov 7 2012
Memphis Grizzlies,Milwaukee Bucks,Wed Nov 7 2012
Minnesota Timberwolves,Orlando Magic,Wed Nov 7 2012
Philadelphia 76ers,New Orleans Hornets,Wed Nov 7 2012
Sacramento Kings,Detroit Pistons,Wed Nov 7 2012
Utah Jazz,Los Angeles Lakers,Wed Nov 7 2012
Oklahoma City Thunder,Chicago Bulls,Thu Nov 8 2012
Los Angeles Clippers,Portland Trail Blazers,Thu Nov 8 2012
Miami Heat,Atlanta Hawks,Fri Nov 9 2012
Philadelphia 76ers,Boston Celtics,Fri Nov 9 2012
Denver Nuggets,Utah Jazz,Fri Nov 9 2012
Los Angeles Lakers,Golden State Warriors,Fri Nov 9 2012
Memphis Grizzlies,Houston Rockets,Fri Nov 9 2012
Minnesota Timberwolves,Indiana Pacers,Fri Nov 9 2012
New Orleans Hornets,Charlotte Bobcats,Fri Nov 9 2012
New York Knicks,Dallas Mavericks,Fri Nov 9 2012
Oklahoma City Thunder,Detroit Pistons,Fri Nov 9 2012
Brooklyn Nets,Orlando Magic,Fri Nov 9 2012
Phoenix Suns,Cleveland Cavaliers,Fri Nov 9 2012
San Antonio Spurs,Sacramento Kings,Fri Nov 9 2012
Milwaukee Bucks,Washington Wizards,Fri Nov 9 2012
Charlotte Bobcats,Dallas Mavericks,Sat Nov 10 2012
Chicago Bulls,Minnesota Timberwolves,Sat Nov 10 2012
Denver Nuggets,Golden State Warriors,Sat Nov 10 2012
Houston Rockets,Detroit Pistons,Sat Nov 10 2012
Indiana Pacers,Washington Wizards,Sat Nov 10 2012
Boston Celtics,Milwaukee Bucks,Sat Nov 10 2012
San Antonio Spurs,Portland Trail Blazers,Sat Nov 10 2012
Philadelphia 76ers,Toronto Raptors,Sat Nov 10 2012
Utah Jazz,Phoenix Suns,Sat Nov 10 2012
Brooklyn Nets,Orlando Magic,Sun Nov 11 2012
Los Angeles Clippers,Atlanta Hawks,Sun Nov 11 2012
Los Angeles Lakers,Sacramento Kings,Sun Nov 11 2012
Memphis Grizzlies,Miami Heat,Sun Nov 11 2012
Oklahoma City Thunder,Cleveland Cavaliers,Sun Nov 11 2012
Boston Celtics,Chicago Bulls,Mon Nov 12 2012
Minnesota Timberwolves,Dallas Mavericks,Mon Nov 12 2012
Oklahoma City Thunder,Detroit Pistons,Mon Nov 12 2012
Miami Heat,Houston Rockets,Mon Nov 12 2012
Milwaukee Bucks,Philadelphia 76ers,Mon Nov 12 2012
Phoenix Suns,Denver Nuggets,Mon Nov 12 2012
Atlanta Hawks,Portland Trail Blazers,Mon Nov 12 2012
Utah Jazz,Toronto Raptors,Mon Nov 12 2012
Brooklyn Nets,Cleveland Cavaliers,Tue Nov 13 2012
Charlotte Bobcats,Washington Wizards,Tue Nov 13 2012
Toronto Raptors,Indiana Pacers,Tue Nov 13 2012
San Antonio Spurs,Los Angeles Lakers,Tue Nov 13 2012
New York Knicks,Orlando Magic,Tue Nov 13 2012
Portland Trail Blazers,Sacramento Kings,Tue Nov 13 2012
Boston Celtics,Utah Jazz,Wed Nov 14 2012
Dallas Mavericks,Washington Wizards,Wed Nov 14 2012
Golden State Warriors,Atlanta Hawks,Wed Nov 14 2012
Houston Rockets,New Orleans Hornets,Wed Nov 14 2012
Los Angeles Clippers,Miami Heat,Wed Nov 14 2012
Milwaukee Bucks,Indiana Pacers,Wed Nov 14 2012
Charlotte Bobcats,Minnesota Timberwolves,Wed Nov 14 2012
Memphis Grizzlies,Oklahoma City Thunder,Wed Nov 14 2012
Detroit Pistons,Philadelphia 76ers,Wed Nov 14 2012
Chicago Bulls,Phoenix Suns,Wed Nov 14 2012
Brooklyn Nets,Boston Celtics,Thu Nov 15 2012
Miami Heat,Denver Nuggets,Thu Nov 15 2012
New York Knicks,San Antonio Spurs,Thu Nov 15 2012
Orlando Magic,Detroit Pistons,Fri Nov 16 2012
Indiana Pacers,Dallas Mavericks,Fri Nov 16 2012
Los Angeles Lakers,Phoenix Suns,Fri Nov 16 2012
Memphis Grizzlies,New York Knicks,Fri Nov 16 2012
Golden State Warriors,Minnesota Timberwolves,Fri Nov 16 2012
Oklahoma City Thunder,New Orleans Hornets,Fri Nov 16 2012
Philadelphia 76ers,Utah Jazz,Fri Nov 16 2012
Portland Trail Blazers,Houston Rockets,Fri Nov 16 2012
Atlanta Hawks,Sacramento Kings,Fri Nov 16 2012
Boston Celtics,Toronto Raptors,Sat Nov 17 2012
Memphis Grizzlies,Charlotte Bobcats,Sat Nov 17 2012
Dallas Mavericks,Cleveland Cavaliers,Sat Nov 17 2012
Los Angeles Clippers,Chicago Bulls,Sat Nov 17 2012
Milwaukee Bucks,New Orleans Hornets,Sat Nov 17 2012
Miami Heat,Phoenix Suns,Sat Nov 17 2012
San Antonio Spurs,Denver Nuggets,Sat Nov 17 2012
Utah Jazz,Washington Wizards,Sat Nov 17 2012
Detroit Pistons,Boston Celtics,Sun Nov 18 2012
Los Angeles Lakers,Houston Rockets,Sun Nov 18 2012
New York Knicks,Indiana Pacers,Sun Nov 18 2012
Oklahoma City Thunder,Golden State Warriors,Sun Nov 18 2012
Philadelphia 76ers,Cleveland Cavaliers,Sun Nov 18 2012
Portland Trail Blazers,Chicago Bulls,Sun Nov 18 2012
Brooklyn Nets,Sacramento Kings,Sun Nov 18 2012
Toronto Raptors,Orlando Magic,Sun Nov 18 2012
Atlanta Hawks,Orlando Magic,Mon Nov 19 2012
Charlotte Bobcats,Milwaukee Bucks,Mon Nov 19 2012
Golden State Warriors,Dallas Mavericks,Mon Nov 19 2012
Denver Nuggets,Memphis Grizzlies,Mon Nov 19 2012
Los Angeles Clippers,San Antonio Spurs,Mon Nov 19 2012
Utah Jazz,Houston Rockets,Mon Nov 19 2012
Indiana Pacers,Washington Wizards,Mon Nov 19 2012
Los Angeles Lakers,Brooklyn Nets,Tue Nov 20 2012
New York Knicks,New Orleans Hornets,Tue Nov 20 2012
Philadelphia 76ers,Toronto Raptors,Tue Nov 20 2012
Atlanta Hawks,Washington Wizards,Wed Nov 21 2012
San Antonio Spurs,Boston Celtics,Wed Nov 21 2012
Charlotte Bobcats,Toronto Raptors,Wed Nov 21 2012
Cleveland Cavaliers,Philadelphia 76ers,Wed Nov 21 2012
Dallas Mavericks,New York Knicks,Wed Nov 21 2012
Golden State Warriors,Brooklyn Nets,Wed Nov 21 2012
Houston Rockets,Chicago Bulls,Wed Nov 21 2012
Indiana Pacers,New Orleans Hornets,Wed Nov 21 2012
Miami Heat,Milwaukee Bucks,Wed Nov 21 2012
Denver Nuggets,Minnesota Timberwolves,Wed Nov 21 2012
Oklahoma City Thunder,Los Angeles Clippers,Wed Nov 21 2012
Orlando Magic,Detroit Pistons,Wed Nov 21 2012
Phoenix Suns,Portland Trail Blazers,Wed Nov 21 2012
Sacramento Kings,Los Angeles Lakers,Wed Nov 21 2012
Boston Celtics,Oklahoma City Thunder,Fri Nov 23 2012
Brooklyn Nets,Los Angeles Clippers,Fri Nov 23 2012
Atlanta Hawks,Charlotte Bobcats,Fri Nov 23 2012
Denver Nuggets,Golden State Warriors,Fri Nov 23 2012
Detroit Pistons,Toronto Raptors,Fri Nov 23 2012
Houston Rockets,New York Knicks,Fri Nov 23 2012
San Antonio Spurs,Indiana Pacers,Fri Nov 23 2012
Memphis Grizzlies,Los Angeles Lakers,Fri Nov 23 2012
Orlando Magic,Cleveland Cavaliers,Fri Nov 23 2012
Phoenix Suns,New Orleans Hornets,Fri Nov 23 2012
Portland Trail Blazers,Minnesota Timberwolves,Fri Nov 23 2012
Utah Jazz,Sacramento Kings,Fri Nov 23 2012
Atlanta Hawks,Los Angeles Clippers,Sat Nov 24 2012
Los Angeles Lakers,Dallas Mavericks,Sat Nov 24 2012
Golden State Warriors,Minnesota Timberwolves,Sat Nov 24 2012
Miami Heat,Cleveland Cavaliers,Sat Nov 24 2012
Chicago Bulls,Milwaukee Bucks,Sat Nov 24 2012
Oklahoma City Thunder,Philadelphia 76ers,Sat Nov 24 2012
Sacramento Kings,Utah Jazz,Sat Nov 24 2012
Charlotte Bobcats,Washington Wizards,Sat Nov 24 2012
Brooklyn Nets,Portland Trail Blazers,Sun Nov 25 2012
Denver Nuggets,New Orleans Hornets,Sun Nov 25 2012
New York Knicks,Detroit Pistons,Sun Nov 25 2012
Boston Celtics,Orlando Magic,Sun Nov 25 2012
Philadelphia 76ers,Phoenix Suns,Sun Nov 25 2012
San Antonio Spurs,Toronto Raptors,Sun Nov 25 2012
Brooklyn Nets,New York Knicks,Mon Nov 26 2012
Milwaukee Bucks,Chicago Bulls,Mon Nov 26 2012
Detroit Pistons,Portland Trail Blazers,Mon Nov 26 2012
New Orleans Hornets,Los Angeles Clippers,Mon Nov 26 2012
Memphis Grizzlies,Cleveland Cavaliers,Mon Nov 26 2012
Oklahoma City Thunder,Charlotte Bobcats,Mon Nov 26 2012
Utah Jazz,Denver Nuggets,Mon Nov 26 2012
San Antonio Spurs,Washington Wizards,Mon Nov 26 2012
Phoenix Suns,Cleveland Cavaliers,Tue Nov 27 2012
Houston Rockets,Toronto Raptors,Tue Nov 27 2012
Indiana Pacers,Los Angeles Lakers,Tue Nov 27 2012
Philadelphia 76ers,Dallas Mavericks,Tue Nov 27 2012
Minnesota Timberwolves,Sacramento Kings,Tue Nov 27 2012
Atlanta Hawks,Charlotte Bobcats,Wed Nov 28 2012
Brooklyn Nets,Boston Celtics,Wed Nov 28 2012
Chicago Bulls,Dallas Mavericks,Wed Nov 28 2012
Detroit Pistons,Phoenix Suns,Wed Nov 28 2012
Los Angeles Clippers,Minnesota Timberwolves,Wed Nov 28 2012
Memphis Grizzlies,Toronto Raptors,Wed Nov 28 2012
New York Knicks,Milwaukee Bucks,Wed Nov 28 2012
Utah Jazz,New Orleans Hornets,Wed Nov 28 2012
Oklahoma City Thunder,Houston Rockets,Wed Nov 28 2012
San Antonio Spurs,Orlando Magic,Wed Nov 28 2012
Washington Wizards,Portland Trail Blazers,Wed Nov 28 2012
Golden State Warriors,Denver Nuggets,Thu Nov 29 2012
Miami Heat,San Antonio Spurs,Thu Nov 29 2012
Cleveland Cavaliers,Atlanta Hawks,Fri Nov 30 2012
Boston Celtics,Portland Trail Blazers,Fri Nov 30 2012
Philadelphia 76ers,Charlotte Bobcats,Fri Nov 30 2012
Los Angeles Lakers,Denver Nuggets,Fri Nov 30 2012
Memphis Grizzlies,Detroit Pistons,Fri Nov 30 2012
Minnesota Timberwolves,Milwaukee Bucks,Fri Nov 30 2012
New York Knicks,Washington Wizards,Fri Nov 30 2012
Oklahoma City Thunder,Utah Jazz,Fri Nov 30 2012
Brooklyn Nets,Orlando Magic,Fri Nov 30 2012
Indiana Pacers,Sacramento Kings,Fri Nov 30 2012
Toronto Raptors,Phoenix Suns,Fri Nov 30 2012
Chicago Bulls,Philadelphia 76ers,Sat Dec 1 2012
Portland Trail Blazers,Cleveland Cavaliers,Sat Dec 1 2012
Dallas Mavericks,Detroit Pistons,Sat Dec 1 2012
Golden State Warriors,Indiana Pacers,Sat Dec 1 2012
Houston Rockets,Utah Jazz,Sat Dec 1 2012
Los Angeles Clippers,Sacramento Kings,Sat Dec 1 2012
Miami Heat,Brooklyn Nets,Sat Dec 1 2012
Milwaukee Bucks,Boston Celtics,Sat Dec 1 2012
Oklahoma City Thunder,New Orleans Hornets,Sat Dec 1 2012
San Antonio Spurs,Memphis Grizzlies,Sat Dec 1 2012
Orlando Magic,Los Angeles Lakers,Sun Dec 2 2012
New York Knicks,Phoenix Suns,Sun Dec 2 2012
Portland Trail Blazers,Charlotte Bobcats,Mon Dec 3 2012
Denver Nuggets,Toronto Raptors,Mon Dec 3 2012
Detroit Pistons,Cleveland Cavaliers,Mon Dec 3 2012
Orlando Magic,Golden State Warriors,Mon Dec 3 2012
New Orleans Hornets,Milwaukee Bucks,Mon Dec 3 2012
Los Angeles Clippers,Utah Jazz,Mon Dec 3 2012
Oklahoma City Thunder,Brooklyn Nets,Tue Dec 4 2012
Indiana Pacers,Chicago Bulls,Tue Dec 4 2012
Houston Rockets,Los Angeles Lakers,Tue Dec 4 2012
Memphis Grizzlies,Phoenix Suns,Tue Dec 4 2012
Minnesota Timberwolves,Philadelphia 76ers,Tue Dec 4 2012
Washington Wizards,Miami Heat,Tue Dec 4 2012
Atlanta Hawks,Denver Nuggets,Wed Dec 5 2012
Boston Celtics,Minnesota Timberwolves,Wed Dec 5 2012
New York Knicks,Charlotte Bobcats,Wed Dec 5 2012
Chicago Bulls,Cleveland Cavaliers,Wed Dec 5 2012
Golden State Warriors,Detroit Pistons,Wed Dec 5 2012
Indiana Pacers,Portland Trail Blazers,Wed Dec 5 2012
Los Angeles Clippers,Dallas Mavericks,Wed Dec 5 2012
Los Angeles Lakers,New Orleans Hornets,Wed Dec 5 2012
Sacramento Kings,Toronto Raptors,Wed Dec 5 2012
San Antonio Spurs,Milwaukee Bucks,Wed Dec 5 2012
Utah Jazz,Orlando Magic,Wed Dec 5 2012
New York Knicks,Miami Heat,Thu Dec 6 2012
Dallas Mavericks,Phoenix Suns,Thu Dec 6 2012
Atlanta Hawks,Washington Wizards,Fri Dec 7 2012
Golden State Warriors,Brooklyn Nets,Fri Dec 7 2012
Chicago Bulls,Detroit Pistons,Fri Dec 7 2012
Denver Nuggets,Indiana Pacers,Fri Dec 7 2012
Milwaukee Bucks,Charlotte Bobcats,Fri Dec 7 2012
Minnesota Timberwolves,Cleveland Cavaliers,Fri Dec 7 2012
Memphis Grizzlies,New Orleans Hornets,Fri Dec 7 2012
Oklahoma City Thunder,Los Angeles Lakers,Fri Dec 7 2012
Philadelphia 76ers,Boston Celtics,Fri Dec 7 2012
Sacramento Kings,Orlando Magic,Fri Dec 7 2012
San Antonio Spurs,Houston Rockets,Fri Dec 7 2012
Utah Jazz,Toronto Raptors,Fri Dec 7 2012
Boston Celtics,Philadelphia 76ers,Sat Dec 8 2012
San Antonio Spurs,Charlotte Bobcats,Sat Dec 8 2012
Chicago Bulls,New York Knicks,Sat Dec 8 2012
Detroit Pistons,Cleveland Cavaliers,Sat Dec 8 2012
Dallas Mavericks,Houston Rockets,Sat Dec 8 2012
Los Angeles Clippers,Phoenix Suns,Sat Dec 8 2012
Atlanta Hawks,Memphis Grizzlies,Sat Dec 8 2012
Miami Heat,New Orleans Hornets,Sat Dec 8 2012
Sacramento Kings,Portland Trail Blazers,Sat Dec 8 2012
Golden State Warriors,Washington Wizards,Sat Dec 8 2012
Milwaukee Bucks,Brooklyn Nets,Sun Dec 9 2012
Los Angeles Clippers,Toronto Raptors,Sun Dec 9 2012
Utah Jazz,Los Angeles Lakers,Sun Dec 9 2012
New York Knicks,Denver Nuggets,Sun Dec 9 2012
Oklahoma City Thunder,Indiana Pacers,Sun Dec 9 2012
Orlando Magic,Phoenix Suns,Sun Dec 9 2012
Golden State Warriors,Charlotte Bobcats,Mon Dec 10 2012
Dallas Mavericks,Sacramento Kings,Mon Dec 10 2012
San Antonio Spurs,Houston Rockets,Mon Dec 10 2012
Miami Heat,Atlanta Hawks,Mon Dec 10 2012
Philadelphia 76ers,Detroit Pistons,Mon Dec 10 2012
Portland Trail Blazers,Toronto Raptors,Mon Dec 10 2012
New York Knicks,Brooklyn Nets,Tue Dec 11 2012
Los Angeles Clippers,Chicago Bulls,Tue Dec 11 2012
Cleveland Cavaliers,Los Angeles Lakers,Tue Dec 11 2012
Denver Nuggets,Detroit Pistons,Tue Dec 11 2012
Washington Wizards,New Orleans Hornets,Tue Dec 11 2012
Boston Celtics,Dallas Mavericks,Wed Dec 12 2012
Los Angeles Clippers,Charlotte Bobcats,Wed Dec 12 2012
Houston Rockets,Washington Wizards,Wed Dec 12 2012
Indiana Pacers,Cleveland Cavaliers,Wed Dec 12 2012
Golden State Warriors,Miami Heat,Wed Dec 12 2012
Milwaukee Bucks,Sacramento Kings,Wed Dec 12 2012
Minnesota Timberwolves,Denver Nuggets,Wed Dec 12 2012
Oklahoma City Thunder,New Orleans Hornets,Wed Dec 12 2012
Atlanta Hawks,Orlando Magic,Wed Dec 12 2012
Chicago Bulls,Philadelphia 76ers,Wed Dec 12 2012
Phoenix Suns,Memphis Grizzlies,Wed Dec 12 2012
Brooklyn Nets,Toronto Raptors,Wed Dec 12 2012
Utah Jazz,San Antonio Spurs,Wed Dec 12 2012
Atlanta Hawks,Charlotte Bobcats,Thu Dec 13 2012
New York Knicks,Los Angeles Lakers,Thu Dec 13 2012
Portland Trail Blazers,San Antonio Spurs,Thu Dec 13 2012
Brooklyn Nets,Detroit Pistons,Fri Dec 14 2012
Milwaukee Bucks,Cleveland Cavaliers,Fri Dec 14 2012
Denver Nuggets,Memphis Grizzlies,Fri Dec 14 2012
Houston Rockets,Boston Celtics,Fri Dec 14 2012
Indiana Pacers,Philadelphia 76ers,Fri Dec 14 2012
Minnesota Timberwolves,New Orleans Hornets,Fri Dec 14 2012
Oklahoma City Thunder,Sacramento Kings,Fri Dec 14 2012
Orlando Magic,Golden State Warriors,Fri Dec 14 2012
Phoenix Suns,Utah Jazz,Fri Dec 14 2012
Toronto Raptors,Dallas Mavericks,Fri Dec 14 2012
Los Angeles Lakers,Washington Wizards,Fri Dec 14 2012
Golden State Warriors,Atlanta Hawks,Sat Dec 15 2012
Orlando Magic,Charlotte Bobcats,Sat Dec 15 2012
Chicago Bulls,Brooklyn Nets,Sat Dec 15 2012
Indiana Pacers,Detroit Pistons,Sat Dec 15 2012
Miami Heat,Washington Wizards,Sat Dec 15 2012
Los Angeles Clippers,Milwaukee Bucks,Sat Dec 15 2012
Minnesota Timberwolves,Dallas Mavericks,Sat Dec 15 2012
New York Knicks,Cleveland Cavaliers,Sat Dec 15 2012
San Antonio Spurs,Boston Celtics,Sat Dec 15 2012
Memphis Grizzlies,Utah Jazz,Sat Dec 15 2012
Los Angeles Lakers,Philadelphia 76ers,Sun Dec 16 2012
Portland Trail Blazers,New Orleans Hornets,Sun Dec 16 2012
Denver Nuggets,Sacramento Kings,Sun Dec 16 2012
Toronto Raptors,Houston Rockets,Sun Dec 16 2012
Los Angeles Clippers,Detroit Pistons,Mon Dec 17 2012
Memphis Grizzlies,Chicago Bulls,Mon Dec 17 2012
Houston Rockets,New York Knicks,Mon Dec 17 2012
Oklahoma City Thunder,San Antonio Spurs,Mon Dec 17 2012
Orlando Magic,Minnesota Timberwolves,Mon Dec 17 2012
Phoenix Suns,Sacramento Kings,Mon Dec 17 2012
Utah Jazz,Brooklyn Nets,Tue Dec 18 2012
Chicago Bulls,Boston Celtics,Tue Dec 18 2012
Toronto Raptors,Cleveland Cavaliers,Tue Dec 18 2012
Dallas Mavericks,Philadelphia 76ers,Tue Dec 18 2012
Denver Nuggets,San Antonio Spurs,Tue Dec 18 2012
Golden State Warriors,New Orleans Hornets,Tue Dec 18 2012
Los Angeles Lakers,Charlotte Bobcats,Tue Dec 18 2012
Miami Heat,Minnesota Timberwolves,Tue Dec 18 2012
Milwaukee Bucks,Indiana Pacers,Tue Dec 18 2012
Atlanta Hawks,Washington Wizards,Tue Dec 18 2012
Oklahoma City Thunder,Atlanta Hawks,Wed Dec 19 2012
Boston Celtics,Cleveland Cavaliers,Wed Dec 19 2012
Houston Rockets,Philadelphia 76ers,Wed Dec 19 2012
Indiana Pacers,Utah Jazz,Wed Dec 19 2012
Los Angeles Clippers,New Orleans Hornets,Wed Dec 19 2012
Memphis Grizzlies,Milwaukee Bucks,Wed Dec 19 2012
New York Knicks,Brooklyn Nets,Wed Dec 19 2012
Orlando Magic,Washington Wizards,Wed Dec 19 2012
Phoenix Suns,Charlotte Bobcats,Wed Dec 19 2012
Sacramento Kings,Golden State Warriors,Wed Dec 19 2012
Toronto Raptors,Detroit Pistons,Wed Dec 19 2012
Miami Heat,Dallas Mavericks,Thu Dec 20 2012
Minnesota Timberwolves,Oklahoma City Thunder,Thu Dec 20 2012
Portland Trail Blazers,Denver Nuggets,Thu Dec 20 2012
Milwaukee Bucks,Boston Celtics,Fri Dec 21 2012
Indiana Pacers,Cleveland Cavaliers,Fri Dec 21 2012
Detroit Pistons,Washington Wizards,Fri Dec 21 2012
Golden State Warriors,Charlotte Bobcats,Fri Dec 21 2012
Los Angeles Clippers,Sacramento Kings,Fri Dec 21 2012
Memphis Grizzlies,Dallas Mavericks,Fri Dec 21 2012
Chicago Bulls,New York Knicks,Fri Dec 21 2012
Philadelphia 76ers,Atlanta Hawks,Fri Dec 21 2012
San Antonio Spurs,New Orleans Hornets,Fri Dec 21 2012
Toronto Raptors,Orlando Magic,Fri Dec 21 2012
Atlanta Hawks,Chicago Bulls,Sat Dec 22 2012
Denver Nuggets,Charlotte Bobcats,Sat Dec 22 2012
Los Angeles Lakers,Golden State Warriors,Sat Dec 22 2012
Houston Rockets,Memphis Grizzlies,Sat Dec 22 2012
Miami Heat,Utah Jazz,Sat Dec 22 2012
Cleveland Cavaliers,Milwaukee Bucks,Sat Dec 22 2012
Indiana Pacers,New Orleans Hornets,Sat Dec 22 2012
Portland Trail Blazers,Phoenix Suns,Sat Dec 22 2012
Detroit Pistons,Washington Wizards,Sat Dec 22 2012
Brooklyn Nets,Philadelphia 76ers,Sun Dec 23 2012
New York Knicks,Minnesota Timberwolves,Sun Dec 23 2012
Utah Jazz,Orlando Magic,Sun Dec 23 2012
Los Angeles Clippers,Phoenix Suns,Sun Dec 23 2012
Sacramento Kings,Portland Trail Blazers,Sun Dec 23 2012
San Antonio Spurs,Dallas Mavericks,Sun Dec 23 2012
Boston Celtics,Brooklyn Nets,Tue Dec 25 2012
Houston Rockets,Chicago Bulls,Tue Dec 25 2012
Los Angeles Clippers,Denver Nuggets,Tue Dec 25 2012
Los Angeles Lakers,New York Knicks,Tue Dec 25 2012
Miami Heat,Oklahoma City Thunder,Tue Dec 25 2012
