Winner,Loser,Date
Oklahoma City Thunder,Minnesota Timberwolves,Fri Feb 22 2013
Boston Celtics,Phoenix Suns,Fri Feb 22 2013
Toronto Raptors,New York Knicks,Fri Feb 22 2013
Washington Wizards,Denver Nuggets,Fri Feb 22 2013
Denver Nuggets,Charlotte Bobcats,Sat Feb 23 2013
Indiana Pacers,Detroit Pistons,Sat Feb 23 2013
Los Angeles Clippers,Utah Jazz,Sat Feb 23 2013
Atlanta Hawks,Milwaukee Bucks,Sat Feb 23 2013
Cleveland Cavaliers,Orlando Magic,Sat Feb 23 2013
Miami Heat,Philadelphia 76ers,Sat Feb 23 2013
Washington Wizards,Houston Rockets,Sat Feb 23 2013
Memphis Grizzlies,Brooklyn Nets,Sun Feb 24 2013
Los Angeles Lakers,Dallas Mavericks,Sun Feb 24 2013
Miami Heat,Cleveland Cavaliers,Sun Feb 24 2013
Golden State Warriors,Minnesota Timberwolves,Sun Feb 24 2013
New Orleans Hornets,Sacramento Kings,Sun Feb 24 2013
New York Knicks,Philadelphia 76ers,Sun Feb 24 2013
Oklahoma City Thunder,Chicago Bulls,Sun Feb 24 2013
San Antonio Spurs,Phoenix Suns,Sun Feb 24 2013
Portland Trail Blazers,Boston Celtics,Sun Feb 24 2013
Denver Nuggets,Los Angeles Lakers,Mon Feb 25 2013
Atlanta Hawks,Detroit Pistons,Mon Feb 25 2013
Washington Wizards,Toronto Raptors,Mon Feb 25 2013
Boston Celtics,Utah Jazz,Mon Feb 25 2013
Cleveland Cavaliers,Chicago Bulls,Tue Feb 26 2013
Milwaukee Bucks,Dallas Mavericks,Tue Feb 26 2013
Indiana Pacers,Golden State Warriors,Tue Feb 26 2013
Los Angeles Clippers,Charlotte Bobcats,Tue Feb 26 2013
Miami Heat,Sacramento Kings,Tue Feb 26 2013
Brooklyn Nets,New Orleans Hornets,Tue Feb 26 2013
Orlando Magic,Philadelphia 76ers,Tue Feb 26 2013
Phoenix Suns,Minnesota Timberwolves,Tue Feb 26 2013
Cleveland Cavaliers,Toronto Raptors,Wed Feb 27 2013
Milwaukee Bucks,Houston Rockets,Wed Feb 27 2013
Memphis Grizzlies,Dallas Mavericks,Wed Feb 27 2013
New York Knicks,Golden State Warriors,Wed Feb 27 2013
Oklahoma City Thunder,New Orleans Hornets,Wed Feb 27 2013
Sacramento Kings,Orlando Magic,Wed Feb 27 2013
Denver Nuggets,Portland Trail Blazers,Wed Feb 27 2013
Phoenix Suns,San Antonio Spurs,Wed Feb 27 2013
Atlanta Hawks,Utah Jazz,Wed Feb 27 2013
Detroit Pistons,Washington Wizards,Wed Feb 27 2013
Chicago Bulls,Philadelphia 76ers,Thu Feb 28 2013
Los Angeles Clippers,Indiana Pacers,Thu Feb 28 2013
Los Angeles Lakers,Minnesota Timberwolves,Thu Feb 28 2013
Boston Celtics,Golden State Warriors,Fri Mar 1 2013
Dallas Mavericks,Brooklyn Nets,Fri Mar 1 2013
Los Angeles Clippers,Cleveland Cavaliers,Fri Mar 1 2013
Denver Nuggets,Oklahoma City Thunder,Fri Mar 1 2013
Miami Heat,Memphis Grizzlies,Fri Mar 1 2013
New Orleans Hornets,Detroit Pistons,Fri Mar 1 2013
Houston Rockets,Orlando Magic,Fri Mar 1 2013
Phoenix Suns,Atlanta Hawks,Fri Mar 1 2013
San Antonio Spurs,Sacramento Kings,Fri Mar 1 2013
Indiana Pacers,Toronto Raptors,Fri Mar 1 2013
Utah Jazz,Charlotte Bobcats,Fri Mar 1 2013
New York Knicks,Washington Wizards,Fri Mar 1 2013
Chicago Bulls,Brooklyn Nets,Sat Mar 2 2013
Milwaukee Bucks,Toronto Raptors,Sat Mar 2 2013
Philadelphia 76ers,Golden State Warriors,Sat Mar 2 2013
Portland Trail Blazers,Minnesota Timberwolves,Sat Mar 2 2013
Houston Rockets,Dallas Mavericks,Sun Mar 3 2013
Indiana Pacers,Chicago Bulls,Sun Mar 3 2013
Oklahoma City Thunder,Los Angeles Clippers,Sun Mar 3 2013
Los Angeles Lakers,Atlanta Hawks,Sun Mar 3 2013
Miami Heat,New York Knicks,Sun Mar 3 2013
Memphis Grizzlies,Orlando Magic,Sun Mar 3 2013
Sacramento Kings,Charlotte Bobcats,Sun Mar 3 2013
San Antonio Spurs,Detroit Pistons,Sun Mar 3 2013
Washington Wizards,Philadelphia 76ers,Sun Mar 3 2013
New York Knicks,Cleveland Cavaliers,Mon Mar 4 2013
Denver Nuggets,Atlanta Hawks,Mon Mar 4 2013
Golden State Warriors,Toronto Raptors,Mon Mar 4 2013
Milwaukee Bucks,Utah Jazz,Mon Mar 4 2013
Miami Heat,Minnesota Timberwolves,Mon Mar 4 2013
Orlando Magic,New Orleans Hornets,Mon Mar 4 2013
Portland Trail Blazers,Charlotte Bobcats,Mon Mar 4 2013
Oklahoma City Thunder,Los Angeles Lakers,Tue Mar 5 2013
Boston Celtics,Philadelphia 76ers,Tue Mar 5 2013
Denver Nuggets,Sacramento Kings,Tue Mar 5 2013
Atlanta Hawks,Philadelphia 76ers,Wed Mar 6 2013
Brooklyn Nets,Charlotte Bobcats,Wed Mar 6 2013
Cleveland Cavaliers,Utah Jazz,Wed Mar 6 2013
Dallas Mavericks,Houston Rockets,Wed Mar 6 2013
New York Knicks,Detroit Pistons,Wed Mar 6 2013
Golden State Warriors,Sacramento Kings,Wed Mar 6 2013
Boston Celtics,Indiana Pacers,Wed Mar 6 2013
Los Angeles Clippers,Milwaukee Bucks,Wed Mar 6 2013
Memphis Grizzlies,Portland Trail Blazers,Wed Mar 6 2013
Miami Heat,Orlando Magic,Wed Mar 6 2013
Minnesota Timberwolves,Washington Wizards,Wed Mar 6 2013
Los Angeles Lakers,New Orleans Hornets,Wed Mar 6 2013
Toronto Raptors,Phoenix Suns,Wed Mar 6 2013
San Antonio Spurs,Chicago Bulls,Wed Mar 6 2013
Denver Nuggets,Los Angeles Clippers,Thu Mar 7 2013
Oklahoma City Thunder,New York Knicks,Thu Mar 7 2013
Boston Celtics,Atlanta Hawks,Fri Mar 8 2013
Brooklyn Nets,Washington Wizards,Fri Mar 8 2013
Oklahoma City Thunder,Charlotte Bobcats,Fri Mar 8 2013
Chicago Bulls,Utah Jazz,Fri Mar 8 2013
Memphis Grizzlies,Cleveland Cavaliers,Fri Mar 8 2013
Dallas Mavericks,Detroit Pistons,Fri Mar 8 2013
Houston Rockets,Golden State Warriors,Fri Mar 8 2013
Los Angeles Lakers,Toronto Raptors,Fri Mar 8 2013
Miami Heat,Philadelphia 76ers,Fri Mar 8 2013
Indiana Pacers,Orlando Magic,Fri Mar 8 2013
Sacramento Kings,Phoenix Suns,Fri Mar 8 2013
Portland Trail Blazers,San Antonio Spurs,Fri Mar 8 2013
Brooklyn Nets,Atlanta Hawks,Sat Mar 9 2013
Denver Nuggets,Minnesota Timberwolves,Sat Mar 9 2013
Milwaukee Bucks,Golden State Warriors,Sat Mar 9 2013
Memphis Grizzlies,New Orleans Hornets,Sat Mar 9 2013
New York Knicks,Utah Jazz,Sat Mar 9 2013
Phoenix Suns,Houston Rockets,Sat Mar 9 2013
Washington Wizards,Charlotte Bobcats,Sat Mar 9 2013
Los Angeles Clippers,Detroit Pistons,Sun Mar 10 2013
Los Angeles Lakers,Chicago Bulls,Sun Mar 10 2013
Miami Heat,Indiana Pacers,Sun Mar 10 2013
Dallas Mavericks,Minnesota Timberwolves,Sun Mar 10 2013
New Orleans Hornets,Portland Trail Blazers,Sun Mar 10 2013
Oklahoma City Thunder,Boston Celtics,Sun Mar 10 2013
Orlando Magic,Philadelphia 76ers,Sun Mar 10 2013
Milwaukee Bucks,Sacramento Kings,Sun Mar 10 2013
Toronto Raptors,Cleveland Cavaliers,Sun Mar 10 2013
Golden State Warriors,New York Knicks,Mon Mar 11 2013
Philadelphia 76ers,Brooklyn Nets,Mon Mar 11 2013
Denver Nuggets,Phoenix Suns,Mon Mar 11 2013
San Antonio Spurs,Oklahoma City Thunder,Mon Mar 11 2013
Utah Jazz,Detroit Pistons,Mon Mar 11 2013
Brooklyn Nets,New Orleans Hornets,Tue Mar 12 2013
Charlotte Bobcats,Boston Celtics,Tue Mar 12 2013
Cleveland Cavaliers,Washington Wizards,Tue Mar 12 2013
Miami Heat,Atlanta Hawks,Tue Mar 12 2013
Dallas Mavericks,Milwaukee Bucks,Tue Mar 12 2013
Minnesota Timberwolves,San Antonio Spurs,Tue Mar 12 2013
Los Angeles Lakers,Orlando Magic,Tue Mar 12 2013
Memphis Grizzlies,Portland Trail Blazers,Tue Mar 12 2013
Atlanta Hawks,Los Angeles Lakers,Wed Mar 13 2013
Boston Celtics,Toronto Raptors,Wed Mar 13 2013
Denver Nuggets,New York Knicks,Wed Mar 13 2013
Golden State Warriors,Detroit Pistons,Wed Mar 13 2013
Houston Rockets,Phoenix Suns,Wed Mar 13 2013
Indiana Pacers,Minnesota Timberwolves,Wed Mar 13 2013
Memphis Grizzlies,Los Angeles Clippers,Wed Mar 13 2013
Oklahoma City Thunder,Utah Jazz,Wed Mar 13 2013
Miami Heat,Philadelphia 76ers,Wed Mar 13 2013
Sacramento Kings,Chicago Bulls,Wed Mar 13 2013
Washington Wizards,Milwaukee Bucks,Wed Mar 13 2013
Portland Trail Blazers,New York Knicks,Thu Mar 14 2013
San Antonio Spurs,Dallas Mavericks,Thu Mar 14 2013
Atlanta Hawks,Phoenix Suns,Fri Mar 15 2013
Dallas Mavericks,Cleveland Cavaliers,Fri Mar 15 2013
Denver Nuggets,Memphis Grizzlies,Fri Mar 15 2013
Chicago Bulls,Golden State Warriors,Fri Mar 15 2013
Houston Rockets,Minnesota Timberwolves,Fri Mar 15 2013
Los Angeles Lakers,Indiana Pacers,Fri Mar 15 2013
Miami Heat,Milwaukee Bucks,Fri Mar 15 2013
Oklahoma City Thunder,Orlando Magic,Fri Mar 15 2013
Toronto Raptors,Charlotte Bobcats,Fri Mar 15 2013
Washington Wizards,New Orleans Hornets,Fri Mar 15 2013
Boston Celtics,Charlotte Bobcats,Sat Mar 16 2013
Philadelphia 76ers,Indiana Pacers,Sat Mar 16 2013
Portland Trail Blazers,Detroit Pistons,Sat Mar 16 2013
San Antonio Spurs,Cleveland Cavaliers,Sat Mar 16 2013
Utah Jazz,Memphis Grizzlies,Sat Mar 16 2013
Washington Wizards,Phoenix Suns,Sat Mar 16 2013
Atlanta Hawks,Brooklyn Nets,Sun Mar 17 2013
Oklahoma City Thunder,Dallas Mavericks,Sun Mar 17 2013
Golden State Warriors,Houston Rockets,Sun Mar 17 2013
Los Angeles Clippers,New York Knicks,Sun Mar 17 2013
Los Angeles Lakers,Sacramento Kings,Sun Mar 17 2013
Milwaukee Bucks,Orlando Magic,Sun Mar 17 2013
Minnesota Timberwolves,New Orleans Hornets,Sun Mar 17 2013
Miami Heat,Toronto Raptors,Sun Mar 17 2013
Dallas Mavericks,Atlanta Hawks,Mon Mar 18 2013
Miami Heat,Boston Celtics,Mon Mar 18 2013
Charlotte Bobcats,Washington Wizards,Mon Mar 18 2013
Denver Nuggets,Chicago Bulls,Mon Mar 18 2013
Indiana Pacers,Cleveland Cavaliers,Mon Mar 18 2013
Brooklyn Nets,Detroit Pistons,Mon Mar 18 2013
Memphis Grizzlies,Minnesota Timberwolves,Mon Mar 18 2013
Golden State Warriors,New Orleans Hornets,Mon Mar 18 2013
Philadelphia 76ers,Portland Trail Blazers,Mon Mar 18 2013
Phoenix Suns,Los Angeles Lakers,Mon Mar 18 2013
New York Knicks,Utah Jazz,Mon Mar 18 2013
Indiana Pacers,Orlando Magic,Tue Mar 19 2013
Milwaukee Bucks,Portland Trail Blazers,Tue Mar 19 2013
Denver Nuggets,Oklahoma City Thunder,Tue Mar 19 2013
Sacramento Kings,Los Angeles Clippers,Tue Mar 19 2013
Atlanta Hawks,Milwaukee Bucks,Wed Mar 20 2013
Charlotte Bobcats,Toronto Raptors,Wed Mar 20 2013
Miami Heat,Cleveland Cavaliers,Wed Mar 20 2013
Brooklyn Nets,Dallas Mavericks,Wed Mar 20 2013
Houston Rockets,Utah Jazz,Wed Mar 20 2013
Los Angeles Clippers,Philadelphia 76ers,Wed Mar 20 2013
Memphis Grizzlies,Oklahoma City Thunder,Wed Mar 20 2013
New Orleans Hornets,Boston Celtics,Wed Mar 20 2013
New York Knicks,Orlando Magic,Wed Mar 20 2013
Washington Wizards,Phoenix Suns,Wed Mar 20 2013
San Antonio Spurs,Golden State Warriors,Wed Mar 20 2013
Portland Trail Blazers,Chicago Bulls,Thu Mar 21 2013
Denver Nuggets,Philadelphia 76ers,Thu Mar 21 2013
Sacramento Kings,Minnesota Timberwolves,Thu Mar 21 2013
Portland Trail Blazers,Atlanta Hawks,Fri Mar 22 2013
Dallas Mavericks,Boston Celtics,Fri Mar 22 2013
Houston Rockets,Cleveland Cavaliers,Fri Mar 22 2013
Indiana Pacers,Milwaukee Bucks,Fri Mar 22 2013
Washington Wizards,Los Angeles Lakers,Fri Mar 22 2013
Miami Heat,Detroit Pistons,Fri Mar 22 2013
New Orleans Hornets,Memphis Grizzlies,Fri Mar 22 2013
Oklahoma City Thunder,Orlando Magic,Fri Mar 22 2013
Minnesota Timberwolves,Phoenix Suns,Fri Mar 22 2013
San Antonio Spurs,Utah Jazz,Fri Mar 22 2013
New York Knicks,Toronto Raptors,Fri Mar 22 2013
Detroit Pistons,Charlotte Bobcats,Sat Mar 23 2013
Chicago Bulls,Indiana Pacers,Sat Mar 23 2013
Denver Nuggets,Sacramento Kings,Sat Mar 23 2013
Golden State Warriors,Washington Wizards,Sat Mar 23 2013
Los Angeles Clippers,Brooklyn Nets,Sat Mar 23 2013
Memphis Grizzlies,Boston Celtics,Sat Mar 23 2013
New York Knicks,Toronto Raptors,Sat Mar 23 2013
Dallas Mavericks,Utah Jazz,Sun Mar 24 2013
Houston Rockets,San Antonio Spurs,Sun Mar 24 2013
Miami Heat,Charlotte Bobcats,Sun Mar 24 2013
Atlanta Hawks,Milwaukee Bucks,Sun Mar 24 2013
Chicago Bulls,Minnesota Timberwolves,Sun Mar 24 2013
Oklahoma City Thunder,Portland Trail Blazers,Sun Mar 24 2013
Brooklyn Nets,Phoenix Suns,Sun Mar 24 2013
Philadelphia 76ers,Sacramento Kings,Sun Mar 24 2013
Golden State Warriors,Los Angeles Lakers,Mon Mar 25 2013
Indiana Pacers,Atlanta Hawks,Mon Mar 25 2013
New Orleans Hornets,Denver Nuggets,Mon Mar 25 2013
Miami Heat,Orlando Magic,Mon Mar 25 2013
Utah Jazz,Philadelphia 76ers,Mon Mar 25 2013
Washington Wizards,Memphis Grizzlies,Mon Mar 25 2013
New York Knicks,Boston Celtics,Tue Mar 26 2013
Dallas Mavericks,Los Angeles Clippers,Tue Mar 26 2013
Minnesota Timberwolves,Detroit Pistons,Tue Mar 26 2013
Charlotte Bobcats,Orlando Magic,Wed Mar 27 2013
Chicago Bulls,Miami Heat,Wed Mar 27 2013
Boston Celtics,Cleveland Cavaliers,Wed Mar 27 2013
Sacramento Kings,Golden State Warriors,Wed Mar 27 2013
Indiana Pacers,Houston Rockets,Wed Mar 27 2013
Los Angeles Lakers,Minnesota Timberwolves,Wed Mar 27 2013
Los Angeles Clippers,New Orleans Hornets,Wed Mar 27 2013
New York Knicks,Memphis Grizzlies,Wed Mar 27 2013
Oklahoma City Thunder,Washington Wizards,Wed Mar 27 2013
Philadelphia 76ers,Milwaukee Bucks,Wed Mar 27 2013
Brooklyn Nets,Portland Trail Blazers,Wed Mar 27 2013
San Antonio Spurs,Denver Nuggets,Wed Mar 27 2013
Atlanta Hawks,Toronto Raptors,Wed Mar 27 2013
Utah Jazz,Phoenix Suns,Wed Mar 27 2013
Indiana Pacers,Dallas Mavericks,Thu Mar 28 2013
Milwaukee Bucks,Los Angeles Lakers,Thu Mar 28 2013
Sacramento Kings,Phoenix Suns,Thu Mar 28 2013
Boston Celtics,Atlanta Hawks,Fri Mar 29 2013
Philadelphia 76ers,Cleveland Cavaliers,Fri Mar 29 2013
Denver Nuggets,Brooklyn Nets,Fri Mar 29 2013
Toronto Raptors,Detroit Pistons,Fri Mar 29 2013
Memphis Grizzlies,Houston Rockets,Fri Mar 29 2013
Minnesota Timberwolves,Oklahoma City Thunder,Fri Mar 29 2013
Miami Heat,New Orleans Hornets,Fri Mar 29 2013
New York Knicks,Charlotte Bobcats,Fri Mar 29 2013
Orlando Magic,Washington Wizards,Fri Mar 29 2013
Utah Jazz,Portland Trail Blazers,Fri Mar 29 2013
San Antonio Spurs,Los Angeles Clippers,Fri Mar 29 2013
Atlanta Hawks,Orlando Magic,Sat Mar 30 2013
Dallas Mavericks,Chicago Bulls,Sat Mar 30 2013
Golden State Warriors,Portland Trail Blazers,Sat Mar 30 2013
Houston Rockets,Los Angeles Clippers,Sat Mar 30 2013
Oklahoma City Thunder,Milwaukee Bucks,Sat Mar 30 2013
Memphis Grizzlies,Minnesota Timberwolves,Sat Mar 30 2013
Philadelphia 76ers,Charlotte Bobcats,Sat Mar 30 2013
Indiana Pacers,Phoenix Suns,Sat Mar 30 2013
Los Angeles Lakers,Sacramento Kings,Sat Mar 30 2013
Utah Jazz,Brooklyn Nets,Sat Mar 30 2013
Chicago Bulls,Detroit Pistons,Sun Mar 31 2013
New Orleans Hornets,Cleveland Cavaliers,Sun Mar 31 2013
New York Knicks,Boston Celtics,Sun Mar 31 2013
Miami Heat,San Antonio Spurs,Sun Mar 31 2013
Washington Wizards,Toronto Raptors,Sun Mar 31 2013
Atlanta Hawks,Cleveland Cavaliers,Mon Apr 1 2013
Houston Rockets,Orlando Magic,Mon Apr 1 2013
Indiana Pacers,Los Angeles Clippers,Mon Apr 1 2013
Memphis Grizzlies,San Antonio Spurs,Mon Apr 1 2013
Milwaukee Bucks,Charlotte Bobcats,Mon Apr 1 2013
Minnesota Timberwolves,Boston Celtics,Mon Apr 1 2013
Detroit Pistons,Toronto Raptors,Mon Apr 1 2013
Utah Jazz,Portland Trail Blazers,Mon Apr 1 2013
Los Angeles Lakers,Dallas Mavericks,Tue Apr 2 2013
New York Knicks,Miami Heat,Tue Apr 2 2013
Washington Wizards,Chicago Bulls,Tue Apr 2 2013
New York Knicks,Atlanta Hawks,Wed Apr 3 2013
Boston Celtics,Detroit Pistons,Wed Apr 3 2013
Charlotte Bobcats,Philadelphia 76ers,Wed Apr 3 2013
Brooklyn Nets,Cleveland Cavaliers,Wed Apr 3 2013
Golden State Warriors,New Orleans Hornets,Wed Apr 3 2013
Los Angeles Clippers,Phoenix Suns,Wed Apr 3 2013
Minnesota Timberwolves,Milwaukee Bucks,Wed Apr 3 2013
Memphis Grizzlies,Portland Trail Blazers,Wed Apr 3 2013
Houston Rockets,Sacramento Kings,Wed Apr 3 2013
San Antonio Spurs,Orlando Magic,Wed Apr 3 2013
Toronto Raptors,Washington Wizards,Wed Apr 3 2013
Denver Nuggets,Utah Jazz,Wed Apr 3 2013
Chicago Bulls,Brooklyn Nets,Thu Apr 4 2013
Denver Nuggets,Dallas Mavericks,Thu Apr 4 2013
Oklahoma City Thunder,San Antonio Spurs,Thu Apr 4 2013
Philadelphia 76ers,Atlanta Hawks,Fri Apr 5 2013
Cleveland Cavaliers,Boston Celtics,Fri Apr 5 2013
Miami Heat,Charlotte Bobcats,Fri Apr 5 2013
Chicago Bulls,Orlando Magic,Fri Apr 5 2013
Oklahoma City Thunder,Indiana Pacers,Fri Apr 5 2013
Los Angeles Lakers,Memphis Grizzlies,Fri Apr 5 2013
Toronto Raptors,Minnesota Timberwolves,Fri Apr 5 2013
New York Knicks,Milwaukee Bucks,Fri Apr 5 2013
Golden State Warriors,Phoenix Suns,Fri Apr 5 2013
Houston Rockets,Portland Trail Blazers,Fri Apr 5 2013
Dallas Mavericks,Sacramento Kings,Fri Apr 5 2013
Utah Jazz,New Orleans Hornets,Fri Apr 5 2013
Brooklyn Nets,Charlotte Bobcats,Sat Apr 6 2013
Denver Nuggets,Houston Rockets,Sat Apr 6 2013
Miami Heat,Philadelphia 76ers,Sat Apr 6 2013
Milwaukee Bucks,Toronto Raptors,Sat Apr 6 2013
Minnesota Timberwolves,Detroit Pistons,Sat Apr 6 2013
San Antonio Spurs,Atlanta Hawks,Sat Apr 6 2013
Washington Wizards,Indiana Pacers,Sat Apr 6 2013
Boston Celtics,Washington Wizards,Sun Apr 7 2013
Cleveland Cavaliers,Orlando Magic,Sun Apr 7 2013
Detroit Pistons,Chicago Bulls,Sun Apr 7 2013
Utah Jazz,Golden State Warriors,Sun Apr 7 2013
Los Angeles Clippers,Los Angeles Lakers,Sun Apr 7 2013
New York Knicks,Oklahoma City Thunder,Sun Apr 7 2013
New Orleans Hornets,Phoenix Suns,Sun Apr 7 2013
Dallas Mavericks,Portland Trail Blazers,Sun Apr 7 2013
Memphis Grizzlies,Sacramento Kings,Sun Apr 7 2013
Brooklyn Nets,Philadelphia 76ers,Tue Apr 9 2013
Toronto Raptors,Chicago Bulls,Tue Apr 9 2013
Golden State Warriors,Minnesota Timberwolves,Tue Apr 9 2013
Houston Rockets,Phoenix Suns,Tue Apr 9 2013
Indiana Pacers,Cleveland Cavaliers,Tue Apr 9 2013
Los Angeles Lakers,New Orleans Hornets,Tue Apr 9 2013
Memphis Grizzlies,Charlotte Bobcats,Tue Apr 9 2013
Miami Heat,Milwaukee Bucks,Tue Apr 9 2013
New York Knicks,Washington Wizards,Tue Apr 9 2013
Oklahoma City Thunder,Utah Jazz,Tue Apr 9 2013
Brooklyn Nets,Boston Celtics,Wed Apr 10 2013
Detroit Pistons,Cleveland Cavaliers,Wed Apr 10 2013
Phoenix Suns,Dallas Mavericks,Wed Apr 10 2013
Denver Nuggets,San Antonio Spurs,Wed Apr 10 2013
Los Angeles Clippers,Minnesota Timberwolves,Wed Apr 10 2013
Orlando Magic,Milwaukee Bucks,Wed Apr 10 2013
Atlanta Hawks,Philadelphia 76ers,Wed Apr 10 2013
Los Angeles Lakers,Portland Trail Blazers,Wed Apr 10 2013
Sacramento Kings,New Orleans Hornets,Wed Apr 10 2013
Miami Heat,Washington Wizards,Wed Apr 10 2013
Chicago Bulls,New York Knicks,Thu Apr 11 2013
Oklahoma City Thunder,Golden State Warriors,Thu Apr 11 2013
Atlanta Hawks,Milwaukee Bucks,Fri Apr 12 2013
New York Knicks,Cleveland Cavaliers,Fri Apr 12 2013
Dallas Mavericks,Denver Nuggets,Fri Apr 12 2013
Detroit Pistons,Charlotte Bobcats,Fri Apr 12 2013
Memphis Grizzlies,Houston Rockets,Fri Apr 12 2013
Brooklyn Nets,Indiana Pacers,Fri Apr 12 2013
Los Angeles Lakers,Golden State Warriors,Fri Apr 12 2013
Miami Heat,Boston Celtics,Fri Apr 12 2013
Los Angeles Clippers,New Orleans Hornets,Fri Apr 12 2013
Oklahoma City Thunder,Portland Trail Blazers,Fri Apr 12 2013
San Antonio Spurs,Sacramento Kings,Fri Apr 12 2013
Toronto Raptors,Chicago Bulls,Fri Apr 12 2013
Utah Jazz,Minnesota Timberwolves,Fri Apr 12 2013
Philadelphia 76ers,Washington Wizards,Fri Apr 12 2013
Charlotte Bobcats,Milwaukee Bucks,Sat Apr 13 2013
Los Angeles Clippers,Memphis Grizzlies,Sat Apr 13 2013
Minnesota Timberwolves,Phoenix Suns,Sat Apr 13 2013
Boston Celtics,Orlando Magic,Sat Apr 13 2013
Denver Nuggets,Portland Trail Blazers,Sun Apr 14 2013
Houston Rockets,Sacramento Kings,Sun Apr 14 2013
Los Angeles Lakers,San Antonio Spurs,Sun Apr 14 2013
Miami Heat,Chicago Bulls,Sun Apr 14 2013
Dallas Mavericks,New Orleans Hornets,Sun Apr 14 2013
New York Knicks,Indiana Pacers,Sun Apr 14 2013
Philadelphia 76ers,Cleveland Cavaliers,Sun Apr 14 2013
Toronto Raptors,Brooklyn Nets,Sun Apr 14 2013
Brooklyn Nets,Washington Wizards,Mon Apr 15 2013
Charlotte Bobcats,New York Knicks,Mon Apr 15 2013
Miami Heat,Cleveland Cavaliers,Mon Apr 15 2013
Memphis Grizzlies,Dallas Mavericks,Mon Apr 15 2013
Detroit Pistons,Philadelphia 76ers,Mon Apr 15 2013
Golden State Warriors,San Antonio Spurs,Mon Apr 15 2013
Denver Nuggets,Milwaukee Bucks,Mon Apr 15 2013
Utah Jazz,Minnesota Timberwolves,Mon Apr 15 2013
Oklahoma City Thunder,Sacramento Kings,Mon Apr 15 2013
Chicago Bulls,Orlando Magic,Mon Apr 15 2013
Phoenix Suns,Houston Rockets,Mon Apr 15 2013
Toronto Raptors,Atlanta Hawks,Tue Apr 16 2013
Los Angeles Clippers,Portland Trail Blazers,Tue Apr 16 2013
Brooklyn Nets,Detroit Pistons,Wed Apr 17 2013
Charlotte Bobcats,Cleveland Cavaliers,Wed Apr 17 2013
Chicago Bulls,Washington Wizards,Wed Apr 17 2013
Dallas Mavericks,New Orleans Hornets,Wed Apr 17 2013
Denver Nuggets,Phoenix Suns,Wed Apr 17 2013
Philadelphia 76ers,Indiana Pacers,Wed Apr 17 2013
Los Angeles Lakers,Houston Rockets,Wed Apr 17 2013
Memphis Grizzlies,Utah Jazz,Wed Apr 17 2013
Miami Heat,Orlando Magic,Wed Apr 17 2013
New York Knicks,Atlanta Hawks,Wed Apr 17 2013
Milwaukee Bucks,Oklahoma City Thunder,Wed Apr 17 2013
Golden State Warriors,Portland Trail Blazers,Wed Apr 17 2013
Los Angeles Clippers,Sacramento Kings,Wed Apr 17 2013
Minnesota Timberwolves,San Antonio Spurs,Wed Apr 17 2013
Toronto Raptors,Boston Celtics,Wed Apr 17 2013
